1_971.924560546875,57.90034866333008,0.7458028197288513,976.5953979492188,50.894065856933594,0.7596333622932434,967.2537231445312,53.2294921875,0.8083502650260925,978.9308471679688,43.887786865234375,0.8667760491371155,957.9119873046875,48.55863952636719,0.888343095779419,995.27880859375,60.235774993896484,0.8460437655448914,953.2411499023438,64.90663146972656,0.8015708327293396,1018.6331176757812,92.93175506591797,0.9365077018737793,950.9057006835938,95.26718139648438,0.7727007865905762,1009.2913818359375,125.62773132324219,0.796194314956665,950.9057006835938,120.95687866210938,0.8517516255378723,995.27880859375,144.31114196777344,0.8022398352622986,967.2537231445312,144.31114196777344,0.8047979474067688,997.6142578125,198.02597045898438,0.8213103413581848,967.2537231445312,195.69053649902344,0.8350331783294678,997.6142578125,244.7344970703125,0.835504949092865,971.924560546875,240.0636444091797,0.896945595741272;854.5595092773438,59.39582824707031,0.9022109508514404,857.0418090820312,54.43125915527344,0.8940699100494385,849.594970703125,54.43125915527344,0.9136509299278259,862.00634765625,51.948974609375,0.8988514542579651,842.1480712890625,54.43125915527344,0.9278750419616699,871.9354858398438,69.32496643066406,0.9108654856681824,834.7012329101562,79.25410461425781,0.9030717015266418,881.8646240234375,99.11237335205078,0.8577100038528442,837.1835327148438,118.97064971923828,0.7949289083480835,891.7937622070312,114.0060806274414,0.8091992735862732,849.594970703125,158.68719482421875,0.600114107131958,871.9354858398438,131.382080078125,0.7841969132423401,847.1126708984375,136.34664916992188,0.7672197222709656,866.970947265625,188.474609375,0.6832989454269409,857.0418090820312,190.95689392089844,0.7102953791618347,864.4886474609375,248.0494384765625,0.7697144746780396,859.5241088867188,245.56715393066406,0.649604856967926
2_968.1705932617188,56.678157806396484,0.741316020488739,970.4750366210938,52.06932830810547,0.7397165894508362,963.561767578125,54.373741149902344,0.8037446737289429,977.3883056640625,45.15608215332031,0.8642492890357971,956.6485595703125,49.76491165161133,0.8635590672492981,995.8236083984375,61.2869873046875,0.8612752556800842,954.3441162109375,63.591400146484375,0.8088387250900269,1018.8677368164062,91.24437713623047,0.9366961121559143,952.0397338867188,93.54879760742188,0.7820547819137573,1009.6500854492188,123.50618743896484,0.8239706754684448,952.0397338867188,121.20177459716797,0.7967840433120728,995.8236083984375,144.2459259033203,0.7737060189247131,965.8662109375,144.2459259033203,0.7983704209327698,998.1279907226562,197.24746704101562,0.81644207239151,965.8662109375,197.24746704101562,0.8471218347549438,995.8236083984375,243.3357696533203,0.8333249688148499,970.4750366210938,238.7269287109375,0.8654680848121643;854.1115112304688,61.2137565612793,0.9057918787002563,856.6309204101562,53.65557861328125,0.8957656621932983,849.07275390625,56.17497253417969,0.9143837690353394,861.669677734375,51.13618850708008,0.8893707990646362,841.5145874023438,56.17497253417969,0.9362698793411255,871.7472534179688,71.29132843017578,0.911875307559967,833.9563598632812,78.84950256347656,0.9141045212745667,879.3054809570312,99.00464630126953,0.8030838966369629,836.4757690429688,116.64039611816406,0.777876079082489,886.8636474609375,114.12100219726562,0.8144859075546265,846.5533447265625,144.3537139892578,0.5016158223152161,871.7472534179688,131.75674438476562,0.7569876909255981,846.5533447265625,134.27613830566406,0.7507126927375793,866.70849609375,189.70277404785156,0.5526540279388428,856.6309204101562,194.74156188964844,0.7495966553688049,861.669677734375,250.16819763183594,0.6874664425849915,859.1503295898438,250.16819763183594,0.7777062058448792
3_970.3240966796875,58.2839469909668,0.7808433771133423,974.9708862304688,53.63720703125,0.7487969398498535,965.6773681640625,53.63720703125,0.8481146693229675,979.6176147460938,44.34373092651367,0.8513585329055786,956.3839111328125,51.313838958740234,0.8741726279258728,995.8811645507812,60.60731506347656,0.8416690826416016,954.060546875,65.25405883789062,0.8119376301765442,1019.1148681640625,93.13449096679688,0.9397767782211304,951.7371826171875,95.4578628540039,0.7705172300338745,1009.8214111328125,123.33829498291016,0.8511567115783691,951.7371826171875,123.33829498291016,0.813923180103302,995.8811645507812,146.57199096679688,0.7792423367500305,965.6773681640625,144.2486114501953,0.7958284616470337,995.8811645507812,197.6861114501953,0.8236282467842102,968.000732421875,197.6861114501953,0.8489266633987427,995.8811645507812,244.15350341796875,0.8301491141319275,970.3240966796875,239.50677490234375,0.878412127494812;856.2028198242188,58.510765075683594,0.8523072004318237,858.714599609375,50.97547149658203,0.8625797629356384,851.1793212890625,53.48723602294922,0.8447726368904114,861.2263793945312,50.97547149658203,0.8783092498779297,843.64404296875,53.48723602294922,0.853058397769928,871.2734375,71.06958770751953,0.9006826281547546,833.5969848632812,78.6048812866211,0.9062957763671875,881.3204956054688,98.6989974975586,0.8408283591270447,836.1087036132812,116.2813491821289,0.7833256125450134,886.343994140625,116.2813491821289,0.8161313533782959,848.6675415039062,143.9107666015625,0.543243944644928,871.2734375,131.3519287109375,0.7695213556289673,848.6675415039062,133.86370849609375,0.7352280020713806,866.2498779296875,189.12252807617188,0.518784761428833,858.714599609375,194.14605712890625,0.7552586793899536,861.2263793945312,251.9166259765625,0.5947572588920593,858.714599609375,251.9166259765625,0.8093060851097107
4_974.84423828125,57.70267868041992,0.7700585126876831,974.84423828125,53.04702377319336,0.7697098255157471,967.8607177734375,53.04702377319336,0.8325695395469666,979.4998779296875,43.73571014404297,0.8567241430282593,956.2216186523438,50.71919250488281,0.8876676559448242,995.794677734375,60.0305061340332,0.8542935252189636,953.893798828125,64.68616485595703,0.8214628100395203,1019.072998046875,92.62010192871094,0.9432417154312134,949.2380981445312,94.94792938232422,0.771508514881134,1009.7616577148438,122.88186645507812,0.8485891222953796,951.56591796875,122.88186645507812,0.8255922198295593,995.794677734375,143.8323211669922,0.7855568528175354,965.5328979492188,143.8323211669922,0.8019125461578369,995.794677734375,197.37237548828125,0.8118481040000916,967.8607177734375,197.37237548828125,0.8358907699584961,995.794677734375,246.2567596435547,0.8389055132865906,970.1885986328125,239.27328491210938,0.8858643174171448;855.515625,59.34316635131836,0.8613766431808472,858.1392211914062,54.09601974487305,0.8877683877944946,852.89208984375,54.09601974487305,0.8347583413124084,860.7628173828125,51.47244644165039,0.8857690691947937,842.3977661132812,54.09601974487305,0.8624104857444763,871.257080078125,72.46102905273438,0.9125316739082336,831.9035034179688,77.70817565917969,0.8757314085960388,879.1278076171875,98.69676208496094,0.7905557751655579,837.150634765625,119.68534851074219,0.8067567348480225,884.3749389648438,117.06178283691406,0.6605862379074097,847.6448974609375,156.41537475585938,0.7910799384117126,871.257080078125,130.1796417236328,0.8401886820793152,845.0213623046875,135.42678833007812,0.8483539819717407,866.0099487304688,185.27468872070312,0.5136935114860535,858.1392211914062,190.52183532714844,0.7533167004585266,860.7628173828125,253.4875946044922,0.6162753105163574,860.7628173828125,248.24044799804688,0.6399257779121399;881.7900390625,15.763493537902832,0.8528900146484375,883.6779174804688,11.987808227539062,0.8861643671989441,878.9583129882812,11.987808227539062,0.8571229577064514,886.5096435546875,12.931730270385742,0.7772538065910339,870.4630126953125,11.987808227539062,0.8197759389877319,882.7339477539062,31.810157775878906,0.605773389339447,863.8555297851562,30.866235733032227,0.5395236611366272,890.2853393554688,51.63250732421875,0.5940343141555786,857.2481079101562,52.5764274597168,0.3881504237651825,883.6779174804688,31.810157775878906,0.58586585521698,872.350830078125,28.03447151184082,0.3514993190765381,881.7900390625,79.95014953613281,0.509513258934021,867.6312255859375,79.95014953613281,0.3976176679134369,880.8461303710938,105.43602752685547,0.30520549416542053,867.6312255859375,104.49210357666016,0.17995567619800568,882.2620239257812,106.8519058227539,0.12391048669815063,876.5985107421875,106.8519058227539,0.057550638914108276
5_970.6175537109375,58.69050979614258,0.8240282535552979,975.2521362304688,54.055885314941406,0.7864538431167603,965.98291015625,54.055885314941406,0.8839839100837708,979.8867797851562,44.78664016723633,0.8492823243141174,956.7136840820312,49.4212646484375,0.8843325972557068,996.1079711914062,61.00782012939453,0.864889919757843,954.3963623046875,65.64244842529297,0.8379965424537659,1019.2810668945312,93.45018768310547,0.9412908554077148,952.0790405273438,95.76750183105469,0.7737361788749695,1007.6945190429688,123.57524108886719,0.8757914900779724,952.0790405273438,121.25792694091797,0.8090785145759583,996.1079711914062,144.43104553222656,0.7865985035896301,965.98291015625,144.43104553222656,0.8075154423713684,996.1079711914062,197.72921752929688,0.8050901293754578,965.98291015625,195.4119110107422,0.8399444818496704,996.1079711914062,244.07545471191406,0.827991247177124,970.6175537109375,239.44082641601562,0.876206636428833;855.30859375,60.15928649902344,0.8501082062721252,857.9223022460938,54.93180847167969,0.8510527014732361,850.0811157226562,54.93180847167969,0.8235354423522949,860.5360717773438,52.31806945800781,0.8841314315795898,842.2398681640625,54.93180847167969,0.8533986806869507,870.9910278320312,73.22798156738281,0.895846962928772,831.784912109375,81.06919860839844,0.8728760480880737,878.8322143554688,101.97911071777344,0.8192944526672363,837.0123901367188,122.88902282714844,0.8302168846130371,884.0596923828125,122.88902282714844,0.660283088684082,850.0811157226562,156.8676300048828,0.8348450064659119,870.9910278320312,133.34397888183594,0.8593829870223999,844.8536376953125,135.9577178955078,0.8347604274749756,863.1497802734375,190.8462371826172,0.5933990478515625,857.9223022460938,190.8462371826172,0.735531210899353,857.9223022460938,253.5759735107422,0.6883981823921204,857.9223022460938,248.34849548339844,0.5821265578269958
6_975.3883666992188,55.514129638671875,0.7896255850791931,977.7186889648438,50.85344696044922,0.8275733590126038,968.3973388671875,53.18378829956055,0.8612454533576965,980.0490112304688,43.8624267578125,0.845442533493042,956.74560546875,50.85344696044922,0.8896669149398804,996.3613891601562,60.174808502197266,0.8611454367637634,954.415283203125,64.83548736572266,0.8222991824150085,1019.664794921875,92.79956817626953,0.9461662173271179,952.0849609375,95.12991333007812,0.7669702768325806,1008.0131225585938,123.093994140625,0.87200927734375,952.0849609375,123.093994140625,0.8153426647186279,994.0310668945312,144.06704711914062,0.7923542261123657,966.0670166015625,144.06704711914062,0.8065692782402039,996.3613891601562,197.6648712158203,0.818273663520813,966.0670166015625,197.6648712158203,0.8406583666801453,996.3613891601562,244.27166748046875,0.850292980670929,970.7276611328125,239.61099243164062,0.8832510113716125;856.912841796875,59.51514434814453,0.8570168614387512,859.5855712890625,54.16973876953125,0.8907908201217651,851.5674438476562,54.16973876953125,0.8563928008079529,862.2582397460938,51.497032165527344,0.8879505395889282,840.8766479492188,54.16973876953125,0.8878505229949951,872.9490966796875,75.55136108398438,0.9131884574890137,832.8585205078125,80.89676666259766,0.8659045100212097,878.2944946289062,104.95108795166016,0.8434345722198486,838.2039184570312,123.6600112915039,0.8760068416595459,883.639892578125,129.0054168701172,0.6648283004760742,851.5674438476562,158.4051513671875,0.8299418091773987,870.2763671875,137.02352905273438,0.8681164979934692,846.2220458984375,139.69622802734375,0.8110485672950745,859.5855712890625,198.4956817626953,0.701524019241333,856.912841796875,195.82298278808594,0.7669675350189209,856.912841796875,254.62245178222656,0.7771062254905701,856.912841796875,249.27703857421875,0.5850110650062561;882.8224487304688,14.842914581298828,0.8898894786834717,884.8419189453125,11.813743591308594,0.8834408521652222,879.7932739257812,10.804019927978516,0.9036754369735718,886.861328125,12.823467254638672,0.7455510497093201,870.7057495117188,10.804019927978516,0.8233595490455627,881.812744140625,32.008216857910156,0.6662638187408447,863.6376953125,29.988771438598633,0.6760919094085693,886.861328125,58.26103591918945,0.6718900799751282,857.579345703125,48.163795471191406,0.46056169271469116,887.8710327148438,77.44578552246094,0.6797059178352356,871.7154541015625,25.949874877929688,0.4591905176639557,880.802978515625,76.4360580444336,0.5159589052200317,868.6863403320312,75.42633819580078,0.42122796177864075,880.802978515625,109.75694274902344,0.37243199348449707,869.696044921875,107.73749542236328,0.2733845114707947,882.3175659179688,114.30069732666016,0.31091874837875366,876.2592163085938,114.30069732666016,0.1606682538986206
7_970.8713989257812,58.73898696899414,0.7477189302444458,973.1844482421875,51.79989242553711,0.7201462388038635,966.245361328125,54.11292266845703,0.8237424492835999,977.810546875,44.86079406738281,0.8432562351226807,956.9932250976562,49.48685836791992,0.8736340999603271,996.3147583007812,61.05202102661133,0.8617514967918396,954.68017578125,65.67808532714844,0.8303540945053101,1019.445068359375,93.4344711303711,0.9482438564300537,952.3671875,95.74750518798828,0.7676689028739929,1007.8799438476562,123.50389099121094,0.8818321824073792,952.3671875,123.50389099121094,0.8124262094497681,994.001708984375,144.32118225097656,0.7903416752815247,966.245361328125,144.32118225097656,0.8028855919837952,996.3147583007812,197.5209197998047,0.8137150406837463,966.245361328125,197.5209197998047,0.833146870136261,996.3147583007812,246.09458923339844,0.8489148616790771,970.8713989257812,239.15550231933594,0.8679951429367065;856.8543701171875,58.5756721496582,0.8189807534217834,859.5029907226562,53.2784423828125,0.8614129424095154,851.5571899414062,55.92705535888672,0.8256832957267761,862.151611328125,50.62982940673828,0.9027561545372009,843.611328125,53.2784423828125,0.8726392388343811,872.74609375,74.46735382080078,0.9305243492126465,833.016845703125,79.76457977294922,0.8807130455970764,880.69189453125,108.89933776855469,0.8879880905151367,838.3140869140625,124.79102325439453,0.8733313679695129,885.9891357421875,130.0882568359375,0.6854340434074402,854.2057495117188,159.22300720214844,0.8125947117805481,870.0974731445312,138.03408813476562,0.8522318005561829,846.2599487304688,140.68270874023438,0.8100218176841736,859.5029907226562,201.600830078125,0.7488645315170288,856.8543701171875,201.600830078125,0.7710084915161133,856.8543701171875,257.22174072265625,0.8052626252174377,856.8543701171875,251.92449951171875,0.5271389484405518;882.64111328125,15.641524314880371,0.8796133995056152,884.6336669921875,11.656415939331055,0.8568653464317322,879.6522216796875,11.656415939331055,0.8968691229820251,886.626220703125,13.648969650268555,0.7366294264793396,870.685791015625,11.656415939331055,0.8179998397827148,882.64111328125,32.57823181152344,0.5748590230941772,862.715576171875,30.585678100585938,0.629454493522644,886.626220703125,58.48143005371094,0.6484118103981018,857.734130859375,47.52238464355469,0.4026262164115906,887.6224365234375,77.41069030761719,0.681843638420105,871.6820068359375,24.608015060424805,0.47435155510902405,881.644775390625,77.41069030761719,0.5225105881690979,868.6932373046875,78.40696716308594,0.3953709602355957,880.6485595703125,109.29154968261719,0.40282443165779114,869.689453125,108.29527282714844,0.2578849792480469,880.150390625,112.77851867675781,0.21437418460845947,872.18017578125,112.77851867675781,0.10236344486474991
8_970.9237060546875,59.92762756347656,0.7628812789916992,973.2146606445312,53.054691314697266,0.744198739528656,966.3417358398438,55.34566879272461,0.835197389125824,977.796630859375,43.890769958496094,0.8513696789741516,957.1777954101562,50.763710021972656,0.8657933473587036,996.1244506835938,59.92762756347656,0.8696814775466919,954.8868408203125,64.50959014892578,0.8279548287391663,1019.0343017578125,92.0013427734375,0.9394322633743286,952.5958251953125,94.29232025146484,0.7877820134162903,1007.579345703125,124.07505798339844,0.8816774487495422,950.3048706054688,124.07505798339844,0.7911010980606079,993.83349609375,144.69387817382812,0.7744998335838318,966.3417358398438,144.69387817382812,0.7949039340019226,996.1244506835938,197.3863983154297,0.8212853074073792,966.3417358398438,197.3863983154297,0.8385056853294373,996.1244506835938,245.49697875976562,0.8359107375144958,970.9237060546875,240.91500854492188,0.8610408902168274;856.7615356445312,61.417537689208984,0.8499168753623962,859.4138793945312,56.11290740966797,0.8784651756286621,851.4569091796875,56.11290740966797,0.859421968460083,862.066162109375,53.460594177246094,0.9125354886054993,843.5,53.460594177246094,0.8908497095108032,872.6754150390625,77.33142852783203,0.9267155528068542,832.8907470703125,79.9837417602539,0.8746739029884338,880.6323852539062,109.1592025756836,0.8874409198760986,838.1953735351562,125.07308959960938,0.8646990656852722,885.93701171875,133.030029296875,0.6605902910232544,854.1092529296875,156.90086364746094,0.8235275745391846,870.0231323242188,140.9869842529297,0.8496088981628418,846.1522827148438,140.9869842529297,0.7984749674797058,859.4138793945312,201.99021911621094,0.7628024220466614,854.1092529296875,201.99021911621094,0.7803091406822205,856.7615356445312,257.6888122558594,0.7737611532211304,856.7615356445312,249.73187255859375,0.5530787706375122;881.869384765625,14.385765075683594,0.8564594984054565,884.8052368164062,11.44989013671875,0.850094199180603,878.9335327148438,11.44989013671875,0.8927227258682251,886.7625122070312,12.428515434265137,0.7386069297790527,871.1044921875,11.44989013671875,0.8177595138549805,882.8480224609375,32.001014709472656,0.6858437061309814,864.254150390625,30.043764114379883,0.6943836212158203,887.7411499023438,56.466636657714844,0.6780723929405212,857.4037475585938,50.594886779785156,0.43458354473114014,887.7411499023438,77.01776123046875,0.7105664610862732,871.1044921875,28.08651351928711,0.4399908781051636,881.869384765625,77.99638366699219,0.5458877682685852,868.1686401367188,77.01776123046875,0.44353950023651123,879.912109375,107.35513305664062,0.3374726176261902,868.1686401367188,107.35513305664062,0.22335483133792877,879.4228515625,110.78031921386719,0.13373245298862457,875.50830078125,110.78031921386719,0.08767794817686081
9_972.1103515625,58.274261474609375,0.7876083254814148,974.4312744140625,53.632293701171875,0.7574350237846375,967.4683837890625,53.632293701171875,0.8443928360939026,979.0732421875,44.348358154296875,0.8477053046226501,958.1844482421875,48.990325927734375,0.8766707181930542,995.3201904296875,60.595245361328125,0.8439821004867554,953.54248046875,65.23721313476562,0.8053586483001709,1018.530029296875,93.08901977539062,0.9399601221084595,951.221435546875,93.08901977539062,0.7820834517478943,1006.925048828125,125.58279418945312,0.8761507868766785,951.221435546875,120.94082641601562,0.8503867983818054,995.3201904296875,144.15066528320312,0.7943024635314941,967.4683837890625,144.15066528320312,0.8123123645782471,997.64111328125,197.53329467773438,0.8152621388435364,967.4683837890625,195.21231079101562,0.8314546346664429,995.3201904296875,243.95297241210938,0.8330538272857666,969.789306640625,239.31100463867188,0.8948510885238647;859.886962890625,58.27476501464844,0.84925776720047,862.5348510742188,52.97904968261719,0.883148729801178,854.5912475585938,55.62690734863281,0.860092043876648,865.1826782226562,52.97904968261719,0.896659791469574,843.9998168945312,52.97904968261719,0.8998511433601379,873.1262817382812,76.80976867675781,0.9101409912109375,833.4083862304688,79.45762634277344,0.9096508026123047,878.4219970703125,108.58406066894531,0.8734578490257263,836.0562744140625,124.47120666503906,0.8720152378082275,886.3655395507812,132.41477966308594,0.7034339904785156,851.9434204101562,158.8933563232422,0.7279720902442932,870.4783935546875,140.3583526611328,0.8600238561630249,846.647705078125,140.3583526611328,0.794551432132721,859.886962890625,201.2590789794922,0.7137476801872253,854.5912475585938,198.61122131347656,0.7819739580154419,857.2391357421875,256.86407470703125,0.6864582896232605,857.2391357421875,254.2162322998047,0.6941511631011963
10_969.6113891601562,57.542076110839844,0.7947250008583069,974.2660522460938,52.88742446899414,0.7578110098838806,964.9567260742188,55.21474838256836,0.8570809364318848,978.9207153320312,43.578121185302734,0.874110221862793,957.9747314453125,48.23277282714844,0.8915631771087646,995.2119750976562,59.86940002441406,0.848434567451477,953.3201293945312,64.52405548095703,0.8367965817451477,1018.4852294921875,92.45196533203125,0.9421584010124207,948.6654663085938,92.45196533203125,0.7972002029418945,1009.1759643554688,125.0345230102539,0.8640583157539368,950.9927978515625,120.37987518310547,0.872242271900177,995.2119750976562,143.65313720703125,0.796574592590332,967.2840576171875,143.65313720703125,0.8156737685203552,997.539306640625,197.18162536621094,0.8244530558586121,967.2840576171875,194.8542938232422,0.829302966594696,995.2119750976562,243.72813415527344,0.8338645696640015,969.6113891601562,239.073486328125,0.8894646167755127;859.8439331054688,60.657135009765625,0.8450021743774414,862.5545654296875,52.525264739990234,0.9045236110687256,857.13330078125,55.23588943481445,0.8378947973251343,865.2651977539062,52.525264739990234,0.8682655692100525,843.5802001953125,55.23588943481445,0.9012159705162048,873.3970947265625,76.92088317871094,0.9151370525360107,832.7376708984375,79.63150787353516,0.9081326723098755,878.8182983398438,109.44837951660156,0.8740020394325256,835.4483032226562,120.29087829589844,0.838521420955658,884.2395629882812,128.42274475097656,0.6833086609840393,849.00146484375,150.1077423095703,0.7751702666282654,867.975830078125,139.26524353027344,0.8392335772514343,843.5802001953125,139.26524353027344,0.8222345113754272,859.8439331054688,198.89898681640625,0.6902963519096375,851.7120971679688,198.89898681640625,0.7876883149147034,857.13330078125,253.11148071289062,0.6887551546096802,857.13330078125,258.53271484375,0.7526662945747375
