1_1054.19,56.4995,0.861772,1065.96,79.9063,0.921234,1045.31,79.8138,0.949019,1030.6,109.412,0.832937,1036.47,141.726,0.76936,1080.74,79.9234,0.850371,1074.76,109.396,0.550489,1069,130.057,0.565617,1051.23,147.598,0.875613,1045.19,147.549,0.881237,1045.22,191.81,0.861424,1045.18,232.988,0.810354,1068.77,147.654,0.877247,1057.18,194.651,0.812914,1048.29,233.053,0.771508,1051.23,53.513,0.726943,1063.05,56.2446,0.852498,1048.35,56.4746,0.0723678,1071.93,56.2915,0.870087,1045.43,247.652,0.658042,1051.28,244.914,0.646392,1048.24,241.777,0.565232,1042.43,247.643,0.704768,1036.47,244.777,0.680182,1045.25,241.797,0.656067;974.732,35.741,0.72955,960.051,56.4806,0.917193,939.347,56.4217,0.859692,927.566,85.977,0.879471,930.67,118.199,0.787593,983.553,56.531,0.904464,998.204,97.5793,0.898759,995.348,124.153,0.704272,957.109,130.144,0.886665,948.233,130.086,0.907724,942.286,183.003,0.836615,933.599,230.099,0.844448,974.766,132.908,0.924767,974.696,185.877,0.888216,971.677,230.071,0.849885,971.733,32.8224,0.643395,974.827,32.8351,0.539413,954.261,32.7782,0.641159,977.601,29.8566,0.113803,974.686,244.756,0.780272,977.767,241.873,0.824896,962.959,235.989,0.731066,936.502,244.804,0.802593,930.598,244.656,0.799728,939.351,238.846,0.719722
2_974.764,33.0335,0.730179,960.035,56.4756,0.919413,936.521,56.4163,0.859837,927.54,88.7586,0.87495,930.652,121.115,0.790283,983.51,56.5192,0.904132,998.137,97.5712,0.877586,986.539,126.938,0.640783,957.07,130.143,0.896163,948.199,130.087,0.904855,942.303,182.97,0.842061,933.63,230.068,0.842049,974.74,132.898,0.92977,974.66,183.036,0.886991,971.722,227.252,0.865199,971.749,32.7448,0.641855,974.846,32.7381,0.508012,954.236,32.717,0.644754,977.595,26.8768,0.0915255,974.643,244.735,0.786489,977.732,241.861,0.840535,965.853,235.951,0.730063,936.492,244.785,0.795096,930.598,244.633,0.789954,939.424,235.979,0.721117;1054.14,56.3914,0.859103,1065.88,79.7836,0.886634,1045.23,76.9731,0.923967,1027.73,106.49,0.887568,1027.76,130.15,0.814415,1080.74,79.8545,0.844842,1077.81,109.341,0.379358,1071.89,130.048,0.318946,1051.23,144.665,0.856199,1045.2,141.822,0.872262,1045.2,191.799,0.86662,1042.44,235.912,0.813513,1068.79,144.727,0.852973,1063.01,191.847,0.809385,1054.22,235.927,0.713686,1051.2,53.3636,0.77884,1063.04,53.4146,0.83856,1048.3,56.4356,0.0778081,1071.93,53.484,0.84431,1051.26,247.647,0.620541,1065.9,244.884,0.625826,1054.16,241.764,0.562189,1042.38,247.711,0.76661,1030.69,244.835,0.755557,1045.24,241.866,0.691739
3_974.755,35.7342,0.751867,960.042,56.4929,0.923766,939.351,56.4441,0.862683,927.549,85.9669,0.880618,930.584,115.249,0.775394,983.513,56.5127,0.903336,998.082,94.6494,0.855771,992.301,118.267,0.609099,957.065,130.136,0.9011,948.196,130.082,0.906922,939.386,182.986,0.841092,933.555,230.067,0.852351,974.744,132.897,0.935172,974.649,183.044,0.883043,971.675,230.049,0.859831,971.746,32.8138,0.676531,974.833,32.8084,0.511377,954.235,32.7745,0.676592,977.524,26.9405,0.0818494,974.629,244.728,0.790474,977.7,241.859,0.848706,962.976,235.988,0.735165,936.431,244.782,0.79969,930.555,244.628,0.78608,936.522,235.999,0.725228;1057.08,56.3215,0.827422,1063.03,76.9694,0.861777,1042.46,74.0825,0.890147,1024.88,106.367,0.909365,1024.92,127.18,0.866895,1080.68,77.0697,0.83598,1077.76,109.406,0.428893,1071.77,132.928,0.35844,1051.21,141.797,0.860949,1042.46,141.749,0.870487,1045.21,191.766,0.880922,1045.19,233.023,0.836338,1068.8,144.669,0.856691,1063.04,191.829,0.820191,1054.24,230.054,0.707003,1051.29,50.5247,0.774625,1065.89,50.5579,0.817023,1051.2,53.4261,0.164636,1071.88,50.5395,0.790539,1054.19,244.822,0.59997,1068.74,244.708,0.611001,1054.15,235.953,0.52007,1045.28,247.683,0.836329,1033.63,244.81,0.787786,1045.27,241.803,0.725523
4_974.774,35.7435,0.721497,960.025,56.4877,0.928373,936.521,56.4277,0.870237,927.505,85.9065,0.897353,930.649,112.384,0.788807,980.709,56.5008,0.915408,998.092,91.7334,0.859071,992.38,109.414,0.636842,957.066,130.1,0.910303,948.191,130.056,0.909501,942.347,182.945,0.849072,936.438,230.049,0.846658,974.742,130.134,0.951068,974.663,182.974,0.899033,971.76,227.228,0.879118,971.772,32.828,0.641667,974.835,32.8176,0.453003,954.275,32.7882,0.65724,977.494,26.9452,0.0690393,974.629,244.71,0.805505,977.745,241.84,0.855285,965.912,235.955,0.742666,936.508,244.772,0.824113,930.611,241.902,0.807822,942.324,235.951,0.730695;1057.13,53.5213,0.786038,1062.95,76.9235,0.850015,1042.41,71.1915,0.871808,1024.78,106.395,0.931294,1027.67,129.931,0.861802,1077.8,77.0637,0.846025,1077.7,109.346,0.579011,1069.02,132.913,0.470559,1051.2,141.776,0.866369,1042.44,141.73,0.86865,1045.19,188.882,0.870904,1042.41,235.907,0.829862,1068.8,144.639,0.858537,1065.85,191.784,0.816198,1054.17,230.134,0.72892,1051.35,47.5826,0.736343,1065.94,47.6397,0.784818,1051.34,47.6225,0.233344,1071.87,50.4576,0.778414,1054.18,247.619,0.630076,1068.75,244.772,0.648154,1051.31,236.02,0.527222,1045.29,247.752,0.842009,1033.57,244.892,0.802209,1042.45,241.871,0.72022
5_974.808,33.0089,0.716523,960.023,56.468,0.928458,936.517,56.4096,0.863516,927.51,85.8791,0.906004,930.69,112.309,0.80342,980.713,56.4701,0.913939,998.122,91.7042,0.865943,995.302,109.358,0.66026,957.105,130.067,0.907737,948.234,130.023,0.917359,942.316,180.158,0.848713,936.417,230.047,0.849526,974.761,130.1,0.953313,974.687,182.955,0.900464,971.776,227.231,0.879001,971.809,32.7246,0.622094,977.54,29.9737,0.435307,957.008,32.7186,0.637573,0,0,0,974.674,244.697,0.808262,977.76,241.817,0.838522,965.939,235.938,0.736267,939.37,244.762,0.806536,930.636,241.907,0.787019,942.302,235.948,0.73439;1054.2,53.4454,0.776069,1063,71.1573,0.84517,1042.43,68.1712,0.866964,1024.8,103.597,0.929438,1027.67,129.895,0.8802,1080.64,76.9019,0.829893,1086.49,106.446,0.573961,1071.92,130.04,0.445892,1051.3,138.821,0.857296,1045.19,135.957,0.87744,1045.32,185.901,0.914138,1045.26,230.024,0.862401,1068.88,138.864,0.874684,1065.86,188.881,0.830935,1054.15,227.22,0.766123,1051.27,44.6901,0.716149,1063.05,47.5454,0.762428,1051.34,44.6794,0.195376,1071.81,44.7093,0.784909,1051.28,244.827,0.676941,1065.93,244.71,0.671086,1051.28,235.938,0.554963,1045.3,244.907,0.828979,1036.51,244.707,0.779706,1045.31,238.894,0.710401
6_974.783,33.0053,0.728392,960.008,56.4626,0.927588,936.521,56.4027,0.866238,927.555,85.9426,0.905607,930.682,115.247,0.794023,980.673,56.449,0.922344,995.357,88.8328,0.855688,995.319,106.569,0.67903,957.077,130.07,0.910002,948.212,130.033,0.916348,939.445,180.15,0.848893,933.577,230.086,0.860085,974.738,130.096,0.953381,974.661,180.151,0.897305,971.743,227.224,0.879296,971.773,32.7239,0.628654,977.513,29.9817,0.444507,954.271,32.7176,0.628466,0,0,0,974.71,244.705,0.813456,977.78,241.809,0.841072,965.871,235.923,0.729037,939.401,244.822,0.808873,930.627,244.704,0.795489,936.522,238.83,0.742344;1054.19,53.4045,0.779401,1060.07,68.2523,0.846191,1042.36,65.2674,0.868377,1024.83,103.483,0.92754,1030.59,127.149,0.87984,1077.68,74.0394,0.846331,1077.7,103.639,0.745116,1071.86,129.905,0.634357,1051.24,135.867,0.880323,1042.44,133.054,0.892083,1045.35,183.028,0.92869,1045.28,230.038,0.863735,1068.84,135.895,0.889441,1062.99,188.838,0.819347,1051.26,227.154,0.77473,1051.23,44.6368,0.736017,1063.02,44.6815,0.765843,1051.27,41.7835,0.234584,1071.75,44.6419,0.784952,1051.29,244.756,0.636003,1065.89,241.857,0.622659,1051.2,233.05,0.523868,1045.44,247.627,0.833698,1039.51,244.761,0.798863,1045.29,238.898,0.729357
7_1051.19,50.5748,0.814392,1060.08,68.1938,0.847053,1042.34,65.2122,0.869658,1024.82,103.417,0.912303,1027.74,127.041,0.884952,1077.69,71.1631,0.836918,1074.87,103.628,0.740175,1071.78,129.948,0.614849,1048.48,133.06,0.880643,1042.39,133.01,0.880405,1045.37,183.033,0.916226,1045.43,230.031,0.862251,1068.77,135.873,0.872654,1060.03,188.862,0.814889,1051.25,227.245,0.780466,1048.37,41.7491,0.738588,1057.13,41.7594,0.780709,1048.34,47.5735,0.0865875,1071.7,44.613,0.832825,1048.37,244.726,0.673277,1060.02,244.656,0.635626,1051.22,238.854,0.562366,1045.45,244.888,0.754485,1042.4,244.722,0.742943,1045.46,238.875,0.702856;974.801,32.9772,0.72137,959.98,56.4472,0.927392,936.456,56.3801,0.869198,927.483,85.9223,0.898437,930.722,112.343,0.791181,980.656,56.4405,0.92504,995.376,88.8035,0.86083,998.132,106.498,0.721078,957.082,130.027,0.9077,948.195,130.002,0.908152,942.299,180.104,0.853219,933.625,227.243,0.852459,974.746,130.044,0.954555,974.716,180.119,0.904241,971.762,227.194,0.89099,971.797,32.6952,0.61565,977.525,29.9348,0.425068,954.285,29.9857,0.615801,0,0,0,974.766,244.666,0.831573,977.816,241.753,0.834492,965.905,233.056,0.740883,942.314,244.75,0.790866,930.679,244.645,0.766843,939.398,235.918,0.728723
8_1048.36,47.633,0.815578,1057.11,68.1488,0.85166,1039.48,62.4065,0.865297,1024.76,100.582,0.901488,1024.8,127.042,0.928427,1074.78,71.1213,0.856412,1074.79,103.558,0.805357,1071.73,130.094,0.680548,1048.42,133.054,0.889901,1042.33,133.007,0.868005,1045.38,182.991,0.917921,1045.42,230.118,0.860873,1065.99,135.883,0.860542,1060.09,188.847,0.812047,1051.33,227.255,0.749975,1048.27,41.6545,0.646167,1051.35,38.8857,0.800378,0,0,0,1068.94,41.7642,0.838813,1048.37,244.711,0.613066,1060.04,244.655,0.58397,1051.29,238.847,0.537852,1045.43,247.644,0.749193,1042.36,244.793,0.735379,1045.48,238.953,0.718051;974.797,33.0011,0.743293,957.182,56.4491,0.930715,933.621,56.3721,0.873611,924.689,85.8953,0.889372,930.592,109.467,0.825202,980.63,56.4473,0.931831,995.327,88.7934,0.850819,998.146,106.363,0.752734,957.063,130.046,0.907874,948.154,130.023,0.9006,939.423,180.11,0.853562,933.551,230.081,0.860333,974.745,130.063,0.948915,974.725,180.116,0.900601,971.764,227.243,0.891464,971.789,32.7173,0.637405,977.511,29.9652,0.455218,954.267,29.9798,0.613724,0,0,0,977.575,244.702,0.828263,980.578,241.784,0.82514,965.856,235.961,0.750753,942.327,244.843,0.804766,930.641,244.749,0.79014,936.468,238.827,0.740533
9_974.809,33.0119,0.718501,957.164,56.4597,0.935496,933.602,56.3897,0.877343,924.622,85.9004,0.879113,930.491,112.306,0.841275,980.6,56.4646,0.935056,995.301,88.8252,0.84372,995.239,106.544,0.708975,957.04,130.092,0.904365,948.121,130.069,0.891303,939.36,180.152,0.853196,933.553,227.24,0.863988,974.738,130.108,0.939013,974.757,182.937,0.891429,971.793,230.037,0.889827,971.799,32.7241,0.608181,977.508,29.9674,0.431026,954.271,29.9848,0.587389,0,0,0,977.577,244.73,0.821585,980.622,241.825,0.826624,965.904,235.992,0.753452,942.292,244.784,0.798659,930.641,244.678,0.78158,936.517,235.913,0.724057;1048.32,50.539,0.832929,1054.22,68.1756,0.851586,1039.41,62.4359,0.849073,1024.74,103.355,0.902573,1024.91,127.132,0.877504,1072,71.1266,0.864559,1074.76,103.542,0.81953,1069.02,130.12,0.720683,1048.42,135.878,0.876756,1042.34,135.837,0.851628,1045.35,185.883,0.896357,1045.4,235.926,0.85306,1065.99,135.924,0.845116,1062.97,188.886,0.804132,1054.18,230.119,0.721027,1048.19,41.7106,0.707966,1051.3,41.7072,0.811946,1045.55,44.6755,0.055749,1068.92,41.7895,0.833664,1051.25,244.79,0.566691,1063.01,244.714,0.555719,1054.14,238.909,0.533005,1045.4,247.769,0.757601,1039.51,244.902,0.741183,1045.45,241.864,0.722184
10_974.799,33.0471,0.637322,957.171,56.4692,0.933758,936.416,56.4075,0.872883,924.678,85.8535,0.892416,930.574,109.38,0.841451,980.591,56.4792,0.934931,995.352,91.7139,0.848613,992.362,106.591,0.750733,954.291,130.147,0.897181,945.314,130.111,0.875025,936.402,183.024,0.852746,933.49,232.978,0.860723,974.718,132.9,0.925095,974.725,183.047,0.874817,971.804,230.086,0.886239,971.803,32.7751,0.549485,974.797,32.7138,0.366397,957.019,32.7159,0.559379,0,0,0,977.583,244.741,0.826887,980.63,241.848,0.824542,965.901,238.854,0.747633,936.456,244.864,0.802286,930.522,244.739,0.796311,936.456,238.909,0.745539;1045.37,44.6613,0.846552,1054.2,65.3163,0.862563,1036.54,65.2155,0.85215,1024.75,103.357,0.90113,1027.72,129.887,0.855559,1074.76,68.17,0.850308,1071.99,103.544,0.81028,1068.79,130.088,0.702226,1048.43,135.899,0.887563,1042.32,135.872,0.856145,1045.32,188.868,0.90294,1045.39,238.95,0.884509,1068.73,135.907,0.860216,1065.86,191.759,0.826903,1062.97,233.053,0.729406,1045.33,38.839,0.493201,1048.28,38.757,0.893093,0,0,0,1068.73,41.6822,0.855337,1051.32,244.908,0.574702,1065.95,244.861,0.586838,1062.95,238.946,0.589237,1045.3,250.689,0.783339,1039.4,247.739,0.781346,1048.19,244.729,0.763039
